GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Anhui-Solar_Distributed,2030.04.15.16,0.2218538691351147
Anhui-Solar_Distributed,2030.04.15.20,0.0
Anhui-Solar_Distributed,2030.05.06.00,0.0
Anhui-Solar_Distributed,2030.05.06.04,0.0
Anhui-Solar_Distributed,2030.05.06.08,0.2974157072989733
Anhui-Solar_Distributed,2030.05.06.12,0.497881364995155
Anhui-Solar_Distributed,2030.05.06.16,0.191244361787502
Anhui-Solar_Distributed,2030.05.06.20,0.0
Anhui-Solar_Distributed,2030.06.19.00,0.0
Anhui-Solar_Distributed,2030.06.19.04,0.0
Anhui-Solar_Distributed,2030.06.19.08,0.2783103345068775
Anhui-Solar_Distributed,2030.06.19.12,0.4555156996744535
Anhui-Solar_Distributed,2030.06.19.16,0.1834479463865899
Anhui-Solar_Distributed,2030.06.19.20,0.0
Anhui-Solar_Distributed,2030.07.01.00,0.0
Anhui-Solar_Distributed,2030.07.01.04,0.0
Anhui-Solar_Distributed,2030.07.01.08,0.2809275671201178
Anhui-Solar_Distributed,2030.07.01.12,0.3899933597865342
Anhui-Solar_Distributed,2030.07.01.16,0.120337975674757
Anhui-Solar_Distributed,2030.07.01.20,0.0
Anhui-Solar_Distributed,2030.08.23.00,0.0
Anhui-Solar_Distributed,2030.08.23.04,0.0
Anhui-Solar_Distributed,2030.08.23.08,0.2812067254526236
Anhui-Solar_Distributed,2030.08.23.12,0.5092428087689492
Anhui-Solar_Distributed,2030.08.23.16,0.1839074393388927
Anhui-Solar_Distributed,2030.08.23.20,0.0
Anhui-Solar_Distributed,2030.09.07.00,0.0
Anhui-Solar_Distributed,2030.09.07.04,0.0
Anhui-Solar_Distributed,2030.09.07.08,0.2977718335574528
Anhui-Solar_Distributed,2030.09.07.12,0.5337278519467926
Anhui-Solar_Distributed,2030.09.07.16,0.2087875550529379
Anhui-Solar_Distributed,2030.09.07.20,0.0
Anhui-Solar_Distributed,2030.10.31.00,0.0
Anhui-Solar_Distributed,2030.10.31.04,0.0
