GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
Hunan-Hydro_NonPumped,1987,754.8900000000001,0
Hunan-Hydro_NonPumped,1992,1264.41,0
Hunan-Hydro_NonPumped,1997,1769.6499999999996,0
Hunan-Hydro_NonPumped,2002,1990.0,0
Hunan-Hydro_NonPumped,2007,5140.0,0
Hunan-Hydro_NonPumped,2012,2100.0,0
Hunan-Hydro_NonPumped,2017,1440.0,0
Hunan-Solar_Distributed,2012,290.0,0
Hunan-Solar_Distributed,2017,1709.8000000000002,0
Hunan-Solar_Utility,2017,1906.2,0
Hunan-Wind_Onshore,2007,38.0,0
Hunan-Wind_Onshore,2012,1476.0,0
Hunan-Wind_Onshore,2017,5176.0,0
Jiangsu-Biomass,2007,115.47540983606558,0
Jiangsu-Biomass,2012,115.47540983606558,0
Jiangsu-Biomass,2017,2117.0491803278687,0
Jiangsu-Coal,1987,1067.0,0
Jiangsu-Coal,1992,3219.0,0
Jiangsu-Coal,1997,5236.0,0
Jiangsu-Coal,2002,16916.0,0
Jiangsu-Coal,2007,25680.0,0
Jiangsu-Coal,2012,18203.0,0
Jiangsu-Coal,2017,12739.999999999958,0
Jiangsu-Gas,2002,2466.0,0
Jiangsu-Gas,2007,1170.0,0
Jiangsu-Gas,2012,4732.0,0
Jiangsu-Gas,2017,8548.0,0
Jiangsu-Hydro_NonPumped,1982,2.8,0
Jiangsu-Hydro_NonPumped,1987,4.45,0
Jiangsu-Hydro_NonPumped,1992,7.43,0
Jiangsu-Hydro_NonPumped,1997,5.94,0
Jiangsu-Hydro_NonPumped,2002,120.0,0
Jiangsu-Hydro_NonPumped,2007,1000.0,0
Jiangsu-Hydro_NonPumped,2012,4.0,0
Jiangsu-Hydro_NonPumped,2017,5.1,0
Jiangsu-Hydro_Pumped,2002,100.0,0
Jiangsu-Hydro_Pumped,2007,792.1050201778537,0
Jiangsu-Hydro_Pumped,2017,1500.0,0
Jiangsu-Nuclear,2007,2120.0,0
Jiangsu-Nuclear,2017,3370.0,0
Jiangsu-Solar_Distributed,2012,1180.0,0
Jiangsu-Solar_Distributed,2017,6670.9,0
Jiangsu-Solar_Utility,2012,3040.0,0
Jiangsu-Solar_Utility,2017,5929.1,0
Jiangsu-Wind_Offshore_Near,2012,836.2135922330096,0
Jiangsu-Wind_Offshore_Near,2017,5979.786407766989,0
Jiangsu-Wind_Onshore,2007,1370.0,0
Jiangsu-Wind_Onshore,2012,1913.7864077669904,0
Jiangsu-Wind_Onshore,2017,5370.213592233011,0
Jiangxi-Biomass,2012,114.9,0
Jiangxi-Biomass,2017,651.1,0
Jiangxi-Coal,1992,238.0,0
Jiangxi-Coal,1997,1880.0,0
Jiangxi-Coal,2002,1466.0,0
Jiangxi-Coal,2007,7650.0,0
Jiangxi-Coal,2012,5720.0,0
Jiangxi-Coal,2017,7144.0,0
Jiangxi-Gas,2017,334.0,0
Jiangxi-Hydro_NonPumped,1982,160.33,0
Jiangxi-Hydro_NonPumped,1987,253.11,0
Jiangxi-Hydro_NonPumped,1992,423.94999999999993,0
Jiangxi-Hydro_NonPumped,1997,478.53,0
Jiangxi-Hydro_NonPumped,2002,1170.0,0
Jiangxi-Hydro_NonPumped,2007,1020.0,0
Jiangxi-Hydro_NonPumped,2012,690.0,0
Jiangxi-Hydro_NonPumped,2017,820.0,0
Jiangxi-Hydro_Pumped,2017,1200.0,0
Jiangxi-Solar_Distributed,2012,260.0,0
Jiangxi-Solar_Distributed,2017,2721.399999999999,0
Jiangxi-Solar_Utility,2012,170.0,0
Jiangxi-Solar_Utility,2017,4596.6,0
Jiangxi-Wind_Onshore,2007,80.0,0
Jiangxi-Wind_Onshore,2012,590.0,0
Jiangxi-Wind_Onshore,2017,4430.0,0
Jilin-Biomass,2007,95.88235294117648,0
Jilin-Biomass,2012,383.5294117647059,0
Jilin-Biomass,2017,335.5882352941177,0
Jilin-Coal,1987,43.0,0
Jilin-Coal,1992,1320.0,0
Jilin-Coal,1997,1200.0,0
Jilin-Coal,2002,374.0,0
Jilin-Coal,2007,8536.0,0
Jilin-Coal,2012,3116.0,0
Jilin-Coal,2017,510.0,0
Jilin-Gas,2017,65.0,0
Jilin-Hydro_NonPumped,1982,325.35,0
Jilin-Hydro_NonPumped,1987,513.62,0
Jilin-Hydro_NonPumped,1992,860.3,0
Jilin-Hydro_NonPumped,1997,756.96,0
Jilin-Hydro_NonPumped,2002,180.0,0
Jilin-Hydro_NonPumped,2007,550.0,0
Jilin-Hydro_NonPumped,2012,240.0,0
Jilin-Hydro_NonPumped,2017,730.0,0
Jilin-Hydro_Pumped,2007,113.5688711782432,0
Jilin-Hydro_Pumped,2017,1050.0,0
Jilin-Solar_Distributed,2012,10.0,0
Jilin-Solar_Distributed,2017,749.8999999999995,0
Jilin-Solar_Utility,2012,60.0,0
Jilin-Solar_Utility,2017,2549.1000000000004,0
Jilin-Wind_Onshore,2002,79.4,0
Jilin-Wind_Onshore,2007,2130.6,0
Jilin-Wind_Onshore,2012,2230.0,0
Jilin-Wind_Onshore,2017,1330.0,0
Liaoning-Biomass,2017,544.0,0
Liaoning-Coal,1987,678.0,0
Liaoning-Coal,1992,1602.0,0
Liaoning-Coal,1997,4389.0,0
Liaoning-Coal,2002,2013.0,0
Liaoning-Coal,2007,13568.0,0
Liaoning-Coal,2012,4560.0,0
Liaoning-Coal,2017,3809.9999999999945,0
Liaoning-Hydro_NonPumped,1982,114.38,0
Liaoning-Hydro_NonPumped,1987,180.58,0
Liaoning-Hydro_NonPumped,1992,302.48,0
Liaoning-Hydro_NonPumped,1997,271.53,0
Liaoning-Hydro_NonPumped,2002,150.0,0
Liaoning-Hydro_NonPumped,2007,70.0,0
Liaoning-Hydro_NonPumped,2012,250.0,0
Liaoning-Hydro_NonPumped,2017,4.0,0
Liaoning-Hydro_Pumped,2007,454.27548471297285,0
Liaoning-Hydro_Pumped,2012,900.0,0
Liaoning-Nuclear,2012,3000.0,0
Liaoning-Nuclear,2017,1480.0,0
Liaoning-Solar_Distributed,2012,90.0,0
Liaoning-Solar_Distributed,2017,1089.1000000000004,0
Liaoning-Solar_Utility,2012,70.0,0
Liaoning-Solar_Utility,2017,2748.9,0
Liaoning-Wind_Offshore_Near,2017,425.0,0
Liaoning-Wind_Onshore,2002,126.5,0
Liaoning-Wind_Onshore,2007,2953.5,0
Liaoning-Wind_Onshore,2012,3310.0,0
Liaoning-Wind_Onshore,2017,2995.0,0
Ningxia-Biomass,2012,127.0,0
Ningxia-Coal,1992,660.0,0
Ningxia-Coal,1997,634.0,0
Ningxia-Coal,2002,2185.0,0
Ningxia-Coal,2007,9251.0,0
Ningxia-Coal,2012,4395.0,0
Ningxia-Coal,2017,10019.99999999997,0
Ningxia-Gas,2007,64.0,0
Ningxia-Gas,2012,800.0,0
Ningxia-Hydro_NonPumped,1982,29.07,0
Ningxia-Hydro_NonPumped,1987,45.89,0
Ningxia-Hydro_NonPumped,1992,76.86,0
Ningxia-Hydro_NonPumped,1997,61.37,0
Ningxia-Hydro_NonPumped,2002,120.0,0
Ningxia-Hydro_NonPumped,2017,4.0,0
Ningxia-Solar_Distributed,2012,30.0,0
Ningxia-Solar_Distributed,2017,722.4000000000024,0
Ningxia-Solar_Utility,2012,3060.0,0
Ningxia-Solar_Utility,2017,8159.5999999999985,0
Ningxia-Wind_Onshore,2002,112.2,0
Ningxia-Wind_Onshore,2007,397.8,0
Ningxia-Wind_Onshore,2012,7710.0,0
Ningxia-Wind_Onshore,2017,5550.0,0
Qinghai-Coal,1997,270.0,0
Qinghai-Coal,2002,30.0,0
Qinghai-Coal,2007,870.0,0
Qinghai-Coal,2012,1980.0,0
Qinghai-Coal,2017,1010.0,0
Qinghai-Hydro_NonPumped,1982,249.4,0
Qinghai-Hydro_NonPumped,1987,393.72,0
Qinghai-Hydro_NonPumped,1992,659.48,0
Qinghai-Hydro_NonPumped,1997,976.6,0
Qinghai-Hydro_NonPumped,2002,1710.0,0
Qinghai-Hydro_NonPumped,2007,5860.0,0
Qinghai-Hydro_NonPumped,2012,1060.0,0
Qinghai-Hydro_NonPumped,2017,516.0,0
Qinghai-Solar_Distributed,2017,167.10000000000036,0
Qinghai-Solar_Utility,2012,5640.0,0
Qinghai-Solar_Utility,2017,9680.9,0
Qinghai-Wind_Onshore,2012,470.0,0
Qinghai-Wind_Onshore,2017,7960.0,0
Shaanxi-Biomass,2017,474.0,0
Shaanxi-Coal,1992,900.0,0
Shaanxi-Coal,1997,2120.0,0
Shaanxi-Coal,2002,3769.0,0
Shaanxi-Coal,2007,12765.0,0
Shaanxi-Coal,2012,9020.0,0
Shaanxi-Coal,2017,13579.999999999987,0
Shaanxi-Hydro_NonPumped,1982,117.2,0
Shaanxi-Hydro_NonPumped,1987,185.01,0
Shaanxi-Hydro_NonPumped,1992,309.9,0
Shaanxi-Hydro_NonPumped,1997,447.46,0
Shaanxi-Hydro_NonPumped,2002,530.0,0
Shaanxi-Hydro_NonPumped,2007,610.0,0
Shaanxi-Hydro_NonPumped,2012,240.0,0
Shaanxi-Hydro_NonPumped,2017,1130.0,0
Shaanxi-Solar_Distributed,2012,50.0,0
Shaanxi-Solar_Distributed,2017,1846.8000000000015,0
Shaanxi-Solar_Utility,2012,1120.0,0
Shaanxi-Solar_Utility,2017,7814.2,0
Shaanxi-Wind_Onshore,2012,1140.0,0
Shaanxi-Wind_Onshore,2017,7780.0,0
