load_zone,TIMEPOINT,zone_demand_mw
Shanghai,2025.01.22.12,29415.040338521307
Shanxi,2025.01.22.12,34881.597640632586
Sichuan,2025.01.22.12,43565.31390963109
Tianjin,2025.01.22.12,14061.935052540248
Tibet,2025.01.22.12,1465.7618016946844
West_Inner_Mongolia,2025.01.22.12,37808.86938136694
Xinjiang,2025.01.22.12,41456.01329787057
Yunnan,2025.01.22.12,28720.82032418784
Zhejiang,2025.01.22.12,76421.67904561777
Anhui,2025.01.22.16,34534.878184588655
Beijing,2025.01.22.16,23358.19980877685
Chongqing,2025.01.22.16,17199.592363458418
East_Inner_Mongolia,2025.01.22.16,13219.3448428603
Fujian,2025.01.22.16,40253.01993386246
Gansu,2025.01.22.16,19781.721836934958
Guangdong,2025.01.22.16,107141.38928767208
Guangxi,2025.01.22.16,27702.392723110897
Guizhou,2025.01.22.16,20566.979397668954
Hainan,2025.01.22.16,4282.0667699767655
Hebei,2025.01.22.16,68291.7679520625
Heilongjiang,2025.01.22.16,17149.749145198304
Henan,2025.01.22.16,57369.99751533691
Hubei,2025.01.22.16,33903.60615512639
Hunan,2025.01.22.16,31955.71351074991
Jiangsu,2025.01.22.16,103833.99889630276
Jiangxi,2025.01.22.16,25134.79681072929
Jilin,2025.01.22.16,12684.044614291088
Liaoning,2025.01.22.16,34661.354512255304
Ningxia,2025.01.22.16,13800.698205271632
Qinghai,2025.01.22.16,10605.479493358504
Shaanxi,2025.01.22.16,28510.8010078496
Shandong,2025.01.22.16,120773.06666240776
Shanghai,2025.01.22.16,29049.630746220275
Shanxi,2025.01.22.16,33873.38762451824
Sichuan,2025.01.22.16,44455.41683688167
Tianjin,2025.01.22.16,14281.06050605609
Tibet,2025.01.22.16,1409.3863477833504
West_Inner_Mongolia,2025.01.22.16,37817.40994973125
Xinjiang,2025.01.22.16,41122.78592968135
Yunnan,2025.01.22.16,27410.50456997428
Zhejiang,2025.01.22.16,89669.97681174846
Anhui,2025.01.22.20,36223.73390752986
Beijing,2025.01.22.20,22923.79357361086
Chongqing,2025.01.22.20,15735.26822442372
East_Inner_Mongolia,2025.01.22.20,13765.049689240755
Fujian,2025.01.22.20,34979.02224243355
Gansu,2025.01.22.20,20227.520630496787
Guangdong,2025.01.22.20,86514.14416607007
Guangxi,2025.01.22.20,27359.55168190939
Guizhou,2025.01.22.20,24768.39620235841
Hainan,2025.01.22.20,5084.159370484535
Hebei,2025.01.22.20,46267.18521060612
Heilongjiang,2025.01.22.20,12244.324639279044
Henan,2025.01.22.20,57780.967930724815
Hubei,2025.01.22.20,28592.902520551004
Hunan,2025.01.22.20,29121.112870587865
Jiangsu,2025.01.22.20,93707.87086300083
Jiangxi,2025.01.22.20,26472.11982733278
Jilin,2025.01.22.20,11789.179018740404
Liaoning,2025.01.22.20,33936.04705674474
Ningxia,2025.01.22.20,14728.354291802869
Qinghai,2025.01.22.20,10516.145706900385
Shaanxi,2025.01.22.20,27686.041167418716
Shandong,2025.01.22.20,120773.06666240776
Shanghai,2025.01.22.20,26860.56098172363
Shanxi,2025.01.22.20,35398.886136099914
Sichuan,2025.01.22.20,40528.66396443874
Tianjin,2025.01.22.20,13113.543247789168
Tibet,2025.01.22.20,1465.7618016946844
West_Inner_Mongolia,2025.01.22.20,38661.71011961131
Xinjiang,2025.01.22.20,41965.8240215478
Yunnan,2025.01.22.20,28503.34130604074
Zhejiang,2025.01.22.20,73188.30260304178
Anhui,2025.02.08.00,28292.11497784484
Beijing,2025.02.08.00,13866.678280573216
