load_zone,TIMEPOINT,zone_demand_mw
Shanxi,2025.01.22.03,24745.826819064725
Sichuan,2025.01.22.03,26046.20871936255
Tianjin,2025.01.22.03,8240.02722305836
Tibet,2025.01.22.03,811.7595775495413
West_Inner_Mongolia,2025.01.22.03,29977.0016326808
Xinjiang,2025.01.22.03,32337.036957627875
Yunnan,2025.01.22.03,17801.17570920795
Zhejiang,2025.01.22.03,41996.0549513236
Anhui,2025.01.22.04,23964.1972249316
Beijing,2025.01.22.04,10798.379398316
Chongqing,2025.01.22.04,10584.3628618688
East_Inner_Mongolia,2025.01.22.04,6085.321851905469
Fujian,2025.01.22.04,21188.7460761574
Gansu,2025.01.22.04,13978.4009959414
Guangdong,2025.01.22.04,45806.4957818063
Guangxi,2025.01.22.04,16920.2469686507
Guizhou,2025.01.22.04,13084.9799833607
Hainan,2025.01.22.04,2130.00283840839
Hebei,2025.01.22.04,37215.2706241309
Heilongjiang,2025.01.22.04,6337.21350149956
Henan,2025.01.22.04,35144.7518830065
Hubei,2025.01.22.04,21777.1782037217
Hunan,2025.01.22.04,17987.3275535203
Jiangsu,2025.01.22.04,63325.3977699017
Jiangxi,2025.01.22.04,15733.4842732284
Jilin,2025.01.22.04,7543.86431995139
Liaoning,2025.01.22.04,25767.4182542028
Ningxia,2025.01.22.04,10876.2534302707
Qinghai,2025.01.22.04,8057.35199436313
Shaanxi,2025.01.22.04,17076.9297532858
Shandong,2025.01.22.04,55000.0
Shanghai,2025.01.22.04,14770.8508927748
Shanxi,2025.01.22.04,24408.5333997438
Sichuan,2025.01.22.04,24792.251210217
Tianjin,2025.01.22.04,8136.40597060544
Tibet,2025.01.22.04,776.917239864996
West_Inner_Mongolia,2025.01.22.04,29740.3707950535
Xinjiang,2025.01.22.04,31889.2126558058
Yunnan,2025.01.22.04,17385.9166396576
Zhejiang,2025.01.22.04,40517.3381851617
Anhui,2025.01.22.05,24276.984766845497
Beijing,2025.01.22.05,11758.988630044874
Chongqing,2025.01.22.05,10681.95368220205
East_Inner_Mongolia,2025.01.22.05,6309.07891728158
Fujian,2025.01.22.05,21412.3096752183
Gansu,2025.01.22.05,14291.20762395055
Guangdong,2025.01.22.05,48338.30797475154
Guangxi,2025.01.22.05,17488.475924825176
Guizhou,2025.01.22.05,14145.9431133421
Hainan,2025.01.22.05,2399.406149109948
Hebei,2025.01.22.05,38804.5296123179
Heilongjiang,2025.01.22.05,7033.98584761027
Henan,2025.01.22.05,35437.561089841576
Hubei,2025.01.22.05,21804.396131896327
Hunan,2025.01.22.05,18311.650666007
Jiangsu,2025.01.22.05,64859.94792647057
Jiangxi,2025.01.22.05,15737.632023777049
Jilin,2025.01.22.05,8068.319612592188
Liaoning,2025.01.22.05,26277.01537532277
Ningxia,2025.01.22.05,10888.999708152323
Qinghai,2025.01.22.05,8100.362883801915
Shaanxi,2025.01.22.05,17417.608699857927
Shandong,2025.01.22.05,56250.0
Shanghai,2025.01.22.05,15702.566049846551
Shanxi,2025.01.22.05,24777.3055610934
Sichuan,2025.01.22.05,25022.084192669176
Tianjin,2025.01.22.05,8860.112765085705
Tibet,2025.01.22.05,818.4210298195572
West_Inner_Mongolia,2025.01.22.05,29999.099712721225
Xinjiang,2025.01.22.05,32082.844547721623
Yunnan,2025.01.22.05,18252.526519129624
Zhejiang,2025.01.22.05,43172.28393096603
Anhui,2025.01.22.06,24589.7723087594
Beijing,2025.01.22.06,12719.59786177375
Chongqing,2025.01.22.06,10779.5445025353
East_Inner_Mongolia,2025.01.22.06,6532.835982657692
Fujian,2025.01.22.06,21635.8732742792
Gansu,2025.01.22.06,14604.0142519597
Guangdong,2025.01.22.06,50870.1201676968
Guangxi,2025.01.22.06,18056.70488099965
Guizhou,2025.01.22.06,15206.9062433235
Hainan,2025.01.22.06,2668.809459811505
Hebei,2025.01.22.06,40393.7886005049
Heilongjiang,2025.01.22.06,7730.75819372098
