load_zone,fuel,period,fuel_cost
Gansu,Nuclear,2038,0.9
Gansu,Nuclear,2043,0.9
Gansu,Nuclear,2048,0.9
Gansu,Nuclear,2053,0.9
Gansu,Nuclear,2058,0.9
Guangdong,Coal,2023,6.258508719
Guangdong,Coal,2028,6.258508719
Guangdong,Coal,2033,6.258508719
Guangdong,Coal,2038,6.258508719
Guangdong,Coal,2043,6.258508719
Guangdong,Coal,2048,6.258508719
Guangdong,Coal,2053,6.258508719
Guangdong,Coal,2058,6.258508719
Guangdong,Gas,2023,11.16315379
Guangdong,Gas,2028,11.16315379
Guangdong,Gas,2033,11.16315379
Guangdong,Gas,2038,11.16315379
Guangdong,Gas,2043,11.16315379
Guangdong,Gas,2048,11.16315379
Guangdong,Gas,2053,11.16315379
Guangdong,Gas,2058,11.16315379
Guangdong,Nuclear,2023,0.9
Guangdong,Nuclear,2028,0.9
Guangdong,Nuclear,2033,0.9
Guangdong,Nuclear,2038,0.9
Guangdong,Nuclear,2043,0.9
Guangdong,Nuclear,2048,0.9
Guangdong,Nuclear,2053,0.9
Guangdong,Nuclear,2058,0.9
Guangxi,Coal,2023,7.228283224
Guangxi,Coal,2028,7.228283224
Guangxi,Coal,2033,7.228283224
Guangxi,Coal,2038,7.228283224
Guangxi,Coal,2043,7.228283224
Guangxi,Coal,2048,7.228283224
Guangxi,Coal,2053,7.228283224
Guangxi,Coal,2058,7.228283224
Guangxi,Gas,2023,10.49960968
Guangxi,Gas,2028,10.49960968
Guangxi,Gas,2033,10.49960968
Guangxi,Gas,2038,10.49960968
Guangxi,Gas,2043,10.49960968
Guangxi,Gas,2048,10.49960968
Guangxi,Gas,2053,10.49960968
Guangxi,Gas,2058,10.49960968
Guangxi,Nuclear,2023,0.9
Guangxi,Nuclear,2028,0.9
Guangxi,Nuclear,2033,0.9
Guangxi,Nuclear,2038,0.9
Guangxi,Nuclear,2043,0.9
Guangxi,Nuclear,2048,0.9
Guangxi,Nuclear,2053,0.9
Guangxi,Nuclear,2058,0.9
Guizhou,Coal,2023,5.219284242
Guizhou,Coal,2028,5.219284242
Guizhou,Coal,2033,5.219284242
Guizhou,Coal,2038,5.219284242
Guizhou,Coal,2043,5.219284242
Guizhou,Coal,2048,5.219284242
Guizhou,Coal,2053,5.219284242
Guizhou,Coal,2058,5.219284242
Guizhou,Gas,2023,9.367681499
Guizhou,Gas,2028,9.367681499
Guizhou,Gas,2033,9.367681499
Guizhou,Gas,2038,9.367681499
Guizhou,Gas,2043,9.367681499
Guizhou,Gas,2048,9.367681499
Guizhou,Gas,2053,9.367681499
Guizhou,Gas,2058,9.367681499
Guizhou,Nuclear,2023,0.9
Guizhou,Nuclear,2028,0.9
Guizhou,Nuclear,2033,0.9
Guizhou,Nuclear,2038,0.9
Guizhou,Nuclear,2043,0.9
Guizhou,Nuclear,2048,0.9
Guizhou,Nuclear,2053,0.9
Guizhou,Nuclear,2058,0.9
Hainan,Coal,2023,5.059138795
Hainan,Coal,2028,5.059138795
Hainan,Coal,2033,5.059138795
Hainan,Coal,2038,5.059138795
Hainan,Coal,2043,5.059138795
Hainan,Coal,2048,5.059138795
Hainan,Coal,2053,5.059138795
Hainan,Coal,2058,5.059138795
Hainan,Gas,2023,9.094457455
Hainan,Gas,2028,9.094457455
Hainan,Gas,2033,9.094457455
Hainan,Gas,2038,9.094457455
Hainan,Gas,2043,9.094457455
Hainan,Gas,2048,9.094457455
Hainan,Gas,2053,9.094457455
Hainan,Gas,2058,9.094457455
Hainan,Nuclear,2023,0.9
Hainan,Nuclear,2028,0.9
Hainan,Nuclear,2033,0.9
Hainan,Nuclear,2038,0.9
Hainan,Nuclear,2043,0.9
Hainan,Nuclear,2048,0.9
Hainan,Nuclear,2053,0.9
Hainan,Nuclear,2058,0.9
Hebei,Coal,2023,4.646084232
Hebei,Coal,2028,4.646084232
Hebei,Coal,2033,4.646084232
Hebei,Coal,2038,4.646084232
Hebei,Coal,2043,4.646084232
Hebei,Coal,2048,4.646084232
Hebei,Coal,2053,4.646084232
Hebei,Coal,2058,4.646084232
Hebei,Gas,2023,10.38251366
Hebei,Gas,2028,10.38251366
Hebei,Gas,2033,10.38251366
Hebei,Gas,2038,10.38251366
Hebei,Gas,2043,10.38251366
Hebei,Gas,2048,10.38251366
Hebei,Gas,2053,10.38251366
Hebei,Gas,2058,10.38251366
Hebei,Nuclear,2023,0.9
Hebei,Nuclear,2028,0.9
Hebei,Nuclear,2033,0.9
Hebei,Nuclear,2038,0.9
Hebei,Nuclear,2043,0.9
Hebei,Nuclear,2048,0.9
Hebei,Nuclear,2053,0.9
Hebei,Nuclear,2058,0.9
Heilongjiang,Coal,2023,5.366863824
Heilongjiang,Coal,2028,5.366863824
Heilongjiang,Coal,2033,5.366863824
Heilongjiang,Coal,2038,5.366863824
Heilongjiang,Coal,2043,5.366863824
Heilongjiang,Coal,2048,5.366863824
Heilongjiang,Coal,2053,5.366863824
Heilongjiang,Coal,2058,5.366863824
Heilongjiang,Gas,2023,9.56284153
Heilongjiang,Gas,2028,9.56284153
Heilongjiang,Gas,2033,9.56284153
Heilongjiang,Gas,2038,9.56284153
Heilongjiang,Gas,2043,9.56284153
Heilongjiang,Gas,2048,9.56284153
Heilongjiang,Gas,2053,9.56284153
Heilongjiang,Gas,2058,9.56284153
Heilongjiang,Nuclear,2023,0.9
Heilongjiang,Nuclear,2028,0.9
Heilongjiang,Nuclear,2033,0.9
Heilongjiang,Nuclear,2038,0.9
Heilongjiang,Nuclear,2043,0.9
Heilongjiang,Nuclear,2048,0.9
Heilongjiang,Nuclear,2053,0.9
Heilongjiang,Nuclear,2058,0.9
Henan,Coal,2023,6.345167424
Henan,Coal,2028,6.345167424
Henan,Coal,2033,6.345167424
Henan,Coal,2038,6.345167424
Henan,Coal,2043,6.345167424
Henan,Coal,2048,6.345167424
Henan,Coal,2053,6.345167424
Henan,Coal,2058,6.345167424
Henan,Gas,2023,10.49960968
Henan,Gas,2028,10.49960968
Henan,Gas,2033,10.49960968
Henan,Gas,2038,10.49960968
Henan,Gas,2043,10.49960968
Henan,Gas,2048,10.49960968
Henan,Gas,2053,10.49960968
Henan,Gas,2058,10.49960968
Henan,Nuclear,2023,0.9
Henan,Nuclear,2028,0.9
Henan,Nuclear,2033,0.9
Henan,Nuclear,2038,0.9
Henan,Nuclear,2043,0.9
Henan,Nuclear,2048,0.9
Henan,Nuclear,2053,0.9
Henan,Nuclear,2058,0.9
Hubei,Coal,2023,6.965085686
Hubei,Coal,2028,6.965085686
Hubei,Coal,2033,6.965085686
Hubei,Coal,2038,6.965085686
Hubei,Coal,2043,6.965085686
Hubei,Coal,2048,6.965085686
Hubei,Coal,2053,6.965085686
Hubei,Coal,2058,6.965085686
Hubei,Gas,2023,10.30444965
Hubei,Gas,2028,10.30444965
Hubei,Gas,2033,10.30444965
Hubei,Gas,2038,10.30444965
Hubei,Gas,2043,10.30444965
Hubei,Gas,2048,10.30444965
Hubei,Gas,2053,10.30444965
Hubei,Gas,2058,10.30444965
Hubei,Nuclear,2023,0.9
Hubei,Nuclear,2028,0.9
Hubei,Nuclear,2033,0.9
Hubei,Nuclear,2038,0.9
Hubei,Nuclear,2043,0.9
Hubei,Nuclear,2048,0.9
Hubei,Nuclear,2053,0.9
Hubei,Nuclear,2058,0.9
Hunan,Coal,2023,7.314563544
Hunan,Coal,2028,7.314563544
Hunan,Coal,2033,7.314563544
Hunan,Coal,2038,7.314563544
Hunan,Coal,2043,7.314563544
Hunan,Coal,2048,7.314563544
Hunan,Coal,2053,7.314563544
Hunan,Coal,2058,7.314563544
Hunan,Gas,2023,10.30444965
Hunan,Gas,2028,10.30444965
Hunan,Gas,2033,10.30444965
Hunan,Gas,2038,10.30444965
Hunan,Gas,2043,10.30444965
Hunan,Gas,2048,10.30444965
Hunan,Gas,2053,10.30444965
Hunan,Gas,2058,10.30444965
Hunan,Nuclear,2023,0.9
Hunan,Nuclear,2028,0.9
Hunan,Nuclear,2033,0.9
Hunan,Nuclear,2038,0.9
Hunan,Nuclear,2043,0.9
Hunan,Nuclear,2048,0.9
Hunan,Nuclear,2053,0.9
Hunan,Nuclear,2058,0.9
Jiangsu,Coal,2023,6.134024178
Jiangsu,Coal,2028,6.134024178
Jiangsu,Coal,2033,6.134024178
Jiangsu,Coal,2038,6.134024178
Jiangsu,Coal,2043,6.134024178
Jiangsu,Coal,2048,6.134024178
Jiangsu,Coal,2053,6.134024178
Jiangsu,Coal,2058,6.134024178
Jiangsu,Gas,2023,11.08508977
Jiangsu,Gas,2028,11.08508977
Jiangsu,Gas,2033,11.08508977
Jiangsu,Gas,2038,11.08508977
Jiangsu,Gas,2043,11.08508977
Jiangsu,Gas,2048,11.08508977
Jiangsu,Gas,2053,11.08508977
Jiangsu,Gas,2058,11.08508977
Jiangsu,Nuclear,2023,0.9
Jiangsu,Nuclear,2028,0.9
Jiangsu,Nuclear,2033,0.9
Jiangsu,Nuclear,2038,0.9
Jiangsu,Nuclear,2043,0.9
Jiangsu,Nuclear,2048,0.9
Jiangsu,Nuclear,2053,0.9
Jiangsu,Nuclear,2058,0.9
Jiangxi,Coal,2023,7.264994633
Jiangxi,Coal,2028,7.264994633
Jiangxi,Coal,2033,7.264994633
Jiangxi,Coal,2038,7.264994633
Jiangxi,Coal,2043,7.264994633
Jiangxi,Coal,2048,7.264994633
Jiangxi,Coal,2053,7.264994633
Jiangxi,Coal,2058,7.264994633
Jiangxi,Gas,2023,10.30444965
Jiangxi,Gas,2028,10.30444965
Jiangxi,Gas,2033,10.30444965
Jiangxi,Gas,2038,10.30444965
Jiangxi,Gas,2043,10.30444965
Jiangxi,Gas,2048,10.30444965
Jiangxi,Gas,2053,10.30444965
Jiangxi,Gas,2058,10.30444965
Jiangxi,Nuclear,2023,0.9
Jiangxi,Nuclear,2028,0.9
Jiangxi,Nuclear,2033,0.9
Jiangxi,Nuclear,2038,0.9
Jiangxi,Nuclear,2043,0.9
Jiangxi,Nuclear,2048,0.9
Jiangxi,Nuclear,2053,0.9
Jiangxi,Nuclear,2058,0.9
Jilin,Coal,2023,5.891186596
Jilin,Coal,2028,5.891186596
Jilin,Coal,2033,5.891186596
Jilin,Coal,2038,5.891186596
Jilin,Coal,2043,5.891186596
Jilin,Coal,2048,5.891186596
Jilin,Coal,2053,5.891186596
Jilin,Coal,2058,5.891186596
Jilin,Gas,2023,9.56284153
Jilin,Gas,2028,9.56284153
Jilin,Gas,2033,9.56284153
Jilin,Gas,2038,9.56284153
Jilin,Gas,2043,9.56284153
Jilin,Gas,2048,9.56284153
Jilin,Gas,2053,9.56284153
Jilin,Gas,2058,9.56284153
Jilin,Nuclear,2023,0.9
Jilin,Nuclear,2028,0.9
Jilin,Nuclear,2033,0.9
Jilin,Nuclear,2038,0.9
Jilin,Nuclear,2043,0.9
Jilin,Nuclear,2048,0.9
Jilin,Nuclear,2053,0.9
Jilin,Nuclear,2058,0.9
Liaoning,Coal,2023,5.65795976
Liaoning,Coal,2028,5.65795976
Liaoning,Coal,2033,5.65795976
Liaoning,Coal,2038,5.65795976
Liaoning,Coal,2043,5.65795976
Liaoning,Coal,2048,5.65795976
Liaoning,Coal,2053,5.65795976
Liaoning,Coal,2058,5.65795976
Liaoning,Gas,2023,10.38251366
Liaoning,Gas,2028,10.38251366
Liaoning,Gas,2033,10.38251366
Liaoning,Gas,2038,10.38251366
Liaoning,Gas,2043,10.38251366
Liaoning,Gas,2048,10.38251366
Liaoning,Gas,2053,10.38251366
Liaoning,Gas,2058,10.38251366
Liaoning,Nuclear,2023,0.9
Liaoning,Nuclear,2028,0.9
Liaoning,Nuclear,2033,0.9
Liaoning,Nuclear,2038,0.9
Liaoning,Nuclear,2043,0.9
Liaoning,Nuclear,2048,0.9
Liaoning,Nuclear,2053,0.9
Liaoning,Nuclear,2058,0.9
Ningxia,Coal,2023,4.134729089
Ningxia,Coal,2028,4.134729089
Ningxia,Coal,2033,4.134729089
Ningxia,Coal,2038,4.134729089
Ningxia,Coal,2043,4.134729089
Ningxia,Coal,2048,4.134729089
Ningxia,Coal,2053,4.134729089
Ningxia,Coal,2058,4.134729089
Ningxia,Gas,2023,7.650273224
Ningxia,Gas,2028,7.650273224
Ningxia,Gas,2033,7.650273224
Ningxia,Gas,2038,7.650273224
Ningxia,Gas,2043,7.650273224
Ningxia,Gas,2048,7.650273224
Ningxia,Gas,2053,7.650273224
Ningxia,Gas,2058,7.650273224
Ningxia,Nuclear,2023,0.9
Ningxia,Nuclear,2028,0.9
Ningxia,Nuclear,2033,0.9
Ningxia,Nuclear,2038,0.9
Ningxia,Nuclear,2043,0.9
Ningxia,Nuclear,2048,0.9
Ningxia,Nuclear,2053,0.9
Ningxia,Nuclear,2058,0.9
Qinghai,Coal,2023,5.115260369
Qinghai,Coal,2028,5.115260369
Qinghai,Coal,2033,5.115260369
Qinghai,Coal,2038,5.115260369
Qinghai,Coal,2043,5.115260369
Qinghai,Coal,2048,5.115260369
Qinghai,Coal,2053,5.115260369
Qinghai,Coal,2058,5.115260369
Qinghai,Gas,2023,8.587041374
Qinghai,Gas,2028,8.587041374
Qinghai,Gas,2033,8.587041374
Qinghai,Gas,2038,8.587041374
Qinghai,Gas,2043,8.587041374
Qinghai,Gas,2048,8.587041374
Qinghai,Gas,2053,8.587041374
Qinghai,Gas,2058,8.587041374
Qinghai,Nuclear,2023,0.9
Qinghai,Nuclear,2028,0.9
Qinghai,Nuclear,2033,0.9
Qinghai,Nuclear,2038,0.9
Qinghai,Nuclear,2043,0.9
Qinghai,Nuclear,2048,0.9
Qinghai,Nuclear,2053,0.9
Qinghai,Nuclear,2058,0.9
Shaanxi,Coal,2023,4.670347811
Shaanxi,Coal,2028,4.670347811
Shaanxi,Coal,2033,4.670347811
Shaanxi,Coal,2038,4.670347811
Shaanxi,Coal,2043,4.670347811
Shaanxi,Coal,2048,4.670347811
Shaanxi,Coal,2053,4.670347811
Shaanxi,Coal,2058,4.670347811
Shaanxi,Gas,2023,7.923497268
Shaanxi,Gas,2028,7.923497268
Shaanxi,Gas,2033,7.923497268
Shaanxi,Gas,2038,7.923497268
Shaanxi,Gas,2043,7.923497268
Shaanxi,Gas,2048,7.923497268
Shaanxi,Gas,2053,7.923497268
Shaanxi,Gas,2058,7.923497268
Shaanxi,Nuclear,2023,0.9
Shaanxi,Nuclear,2028,0.9
Shaanxi,Nuclear,2033,0.9
Shaanxi,Nuclear,2038,0.9
Shaanxi,Nuclear,2043,0.9
Shaanxi,Nuclear,2048,0.9
Shaanxi,Nuclear,2053,0.9
Shaanxi,Nuclear,2058,0.9
Shandong,Coal,2023,6.25386308
Shandong,Coal,2028,6.25386308
Shandong,Coal,2033,6.25386308
Shandong,Coal,2038,6.25386308
Shandong,Coal,2043,6.25386308
Shandong,Coal,2048,6.25386308
Shandong,Coal,2053,6.25386308
Shandong,Coal,2058,6.25386308
Shandong,Gas,2023,10.38251366
Shandong,Gas,2028,10.38251366
Shandong,Gas,2033,10.38251366
Shandong,Gas,2038,10.38251366
Shandong,Gas,2043,10.38251366
Shandong,Gas,2048,10.38251366
Shandong,Gas,2053,10.38251366
Shandong,Gas,2058,10.38251366
Shandong,Nuclear,2023,0.9
Shandong,Nuclear,2028,0.9
Shandong,Nuclear,2033,0.9
Shandong,Nuclear,2038,0.9
Shandong,Nuclear,2043,0.9
Shandong,Nuclear,2048,0.9
Shandong,Nuclear,2053,0.9
Shandong,Nuclear,2058,0.9
Shanghai,Coal,2023,5.741787118
Shanghai,Coal,2028,5.741787118
Shanghai,Coal,2033,5.741787118
Shanghai,Coal,2038,5.741787118
Shanghai,Coal,2043,5.741787118
Shanghai,Coal,2048,5.741787118
Shanghai,Coal,2053,5.741787118
Shanghai,Coal,2058,5.741787118
Shanghai,Gas,2023,11.16315379
Shanghai,Gas,2028,11.16315379
Shanghai,Gas,2033,11.16315379
Shanghai,Gas,2038,11.16315379
Shanghai,Gas,2043,11.16315379
Shanghai,Gas,2048,11.16315379
Shanghai,Gas,2053,11.16315379
Shanghai,Gas,2058,11.16315379
Shanghai,Nuclear,2023,0.9
Shanghai,Nuclear,2028,0.9
Shanghai,Nuclear,2033,0.9
Shanghai,Nuclear,2038,0.9
Shanghai,Nuclear,2043,0.9
Shanghai,Nuclear,2048,0.9
Shanghai,Nuclear,2053,0.9
Shanghai,Nuclear,2058,0.9
Shanxi,Coal,2023,4.255361451
Shanxi,Coal,2028,4.255361451
Shanxi,Coal,2033,4.255361451
Shanxi,Coal,2038,4.255361451
Shanxi,Coal,2043,4.255361451
Shanxi,Coal,2048,4.255361451
Shanxi,Coal,2053,4.255361451
Shanxi,Coal,2058,4.255361451
Shanxi,Gas,2023,10.10928962
Shanxi,Gas,2028,10.10928962
Shanxi,Gas,2033,10.10928962
Shanxi,Gas,2038,10.10928962
Shanxi,Gas,2043,10.10928962
Shanxi,Gas,2048,10.10928962
Shanxi,Gas,2053,10.10928962
Shanxi,Gas,2058,10.10928962
Shanxi,Nuclear,2023,0.9
Shanxi,Nuclear,2028,0.9
Shanxi,Nuclear,2033,0.9
Shanxi,Nuclear,2038,0.9
Shanxi,Nuclear,2043,0.9
Shanxi,Nuclear,2048,0.9
Shanxi,Nuclear,2053,0.9
Shanxi,Nuclear,2058,0.9
Sichuan,Coal,2023,6.848506734
Sichuan,Coal,2028,6.848506734
Sichuan,Coal,2033,6.848506734
Sichuan,Coal,2038,6.848506734
Sichuan,Coal,2043,6.848506734
Sichuan,Coal,2048,6.848506734
Sichuan,Coal,2053,6.848506734
Sichuan,Coal,2058,6.848506734
Sichuan,Gas,2023,9.133489461
Sichuan,Gas,2028,9.133489461
Sichuan,Gas,2033,9.133489461
Sichuan,Gas,2038,9.133489461
Sichuan,Gas,2043,9.133489461
Sichuan,Gas,2048,9.133489461
Sichuan,Gas,2053,9.133489461
Sichuan,Gas,2058,9.133489461
Sichuan,Nuclear,2023,0.9
Sichuan,Nuclear,2028,0.9
Sichuan,Nuclear,2033,0.9
Sichuan,Nuclear,2038,0.9
Sichuan,Nuclear,2043,0.9
Sichuan,Nuclear,2048,0.9
Sichuan,Nuclear,2053,0.9
Sichuan,Nuclear,2058,0.9
Tianjin,Coal,2023,5.810860046
Tianjin,Coal,2028,5.810860046
Tianjin,Coal,2033,5.810860046
Tianjin,Coal,2038,5.810860046
Tianjin,Coal,2043,5.810860046
Tianjin,Coal,2048,5.810860046
Tianjin,Coal,2053,5.810860046
Tianjin,Coal,2058,5.810860046
Tianjin,Gas,2023,10.46057767
Tianjin,Gas,2028,10.46057767
Tianjin,Gas,2033,10.46057767
Tianjin,Gas,2038,10.46057767
Tianjin,Gas,2043,10.46057767
Tianjin,Gas,2048,10.46057767
Tianjin,Gas,2053,10.46057767
Tianjin,Gas,2058,10.46057767
Tianjin,Nuclear,2023,0.9
Tianjin,Nuclear,2028,0.9
Tianjin,Nuclear,2033,0.9
Tianjin,Nuclear,2038,0.9
Tianjin,Nuclear,2043,0.9
Tianjin,Nuclear,2048,0.9
Tianjin,Nuclear,2053,0.9
Tianjin,Nuclear,2058,0.9
Tibet,Coal,2023,7.314563544
Tibet,Coal,2028,7.314563544
Tibet,Coal,2033,7.314563544
Tibet,Coal,2038,7.314563544
Tibet,Coal,2043,7.314563544
Tibet,Coal,2048,7.314563544
Tibet,Coal,2053,7.314563544
Tibet,Coal,2058,7.314563544
Tibet,Gas,2023,11.16315379
Tibet,Gas,2028,11.16315379
Tibet,Gas,2033,11.16315379
Tibet,Gas,2038,11.16315379
Tibet,Gas,2043,11.16315379
Tibet,Gas,2048,11.16315379
Tibet,Gas,2053,11.16315379
Tibet,Gas,2058,11.16315379
Tibet,Nuclear,2023,0.9
Tibet,Nuclear,2028,0.9
Tibet,Nuclear,2033,0.9
Tibet,Nuclear,2038,0.9
Tibet,Nuclear,2043,0.9
Tibet,Nuclear,2048,0.9
Tibet,Nuclear,2053,0.9
Tibet,Nuclear,2058,0.9
West_Inner_Mongolia,Coal,2023,2.631637491
West_Inner_Mongolia,Coal,2028,2.631637491
West_Inner_Mongolia,Coal,2033,2.631637491
West_Inner_Mongolia,Coal,2038,2.631637491
West_Inner_Mongolia,Coal,2043,2.631637491
West_Inner_Mongolia,Coal,2048,2.631637491
West_Inner_Mongolia,Coal,2053,2.631637491
West_Inner_Mongolia,Coal,2058,2.631637491
West_Inner_Mongolia,Gas,2023,7.923497268
West_Inner_Mongolia,Gas,2028,7.923497268
West_Inner_Mongolia,Gas,2033,7.923497268
West_Inner_Mongolia,Gas,2038,7.923497268
West_Inner_Mongolia,Gas,2043,7.923497268
West_Inner_Mongolia,Gas,2048,7.923497268
West_Inner_Mongolia,Gas,2053,7.923497268
West_Inner_Mongolia,Gas,2058,7.923497268
West_Inner_Mongolia,Nuclear,2023,0.9
West_Inner_Mongolia,Nuclear,2028,0.9
West_Inner_Mongolia,Nuclear,2033,0.9
West_Inner_Mongolia,Nuclear,2038,0.9
West_Inner_Mongolia,Nuclear,2043,0.9
West_Inner_Mongolia,Nuclear,2048,0.9
West_Inner_Mongolia,Nuclear,2053,0.9
West_Inner_Mongolia,Nuclear,2058,0.9
Xinjiang,Coal,2023,2.535720502
Xinjiang,Coal,2028,2.535720502
Xinjiang,Coal,2033,2.535720502
Xinjiang,Coal,2038,2.535720502
Xinjiang,Coal,2043,2.535720502
Xinjiang,Coal,2048,2.535720502
Xinjiang,Coal,2053,2.535720502
Xinjiang,Coal,2058,2.535720502
Xinjiang,Gas,2023,7.181889149
Xinjiang,Gas,2028,7.181889149
Xinjiang,Gas,2033,7.181889149
Xinjiang,Gas,2038,7.181889149
Xinjiang,Gas,2043,7.181889149
Xinjiang,Gas,2048,7.181889149
Xinjiang,Gas,2053,7.181889149
Xinjiang,Gas,2058,7.181889149
Xinjiang,Nuclear,2023,0.9
Xinjiang,Nuclear,2028,0.9
Xinjiang,Nuclear,2033,0.9
Xinjiang,Nuclear,2038,0.9
Xinjiang,Nuclear,2043,0.9
Xinjiang,Nuclear,2048,0.9
Xinjiang,Nuclear,2053,0.9
Xinjiang,Nuclear,2058,0.9
Yunnan,Coal,2023,4.461734786
Yunnan,Coal,2028,4.461734786
Yunnan,Coal,2033,4.461734786
Yunnan,Coal,2038,4.461734786
Yunnan,Coal,2043,4.461734786
Yunnan,Coal,2048,4.461734786
Yunnan,Coal,2053,4.461734786
